"No.","Time","Source","Destination","Protocol","Length","Info"
"147","15.805799169","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"148","16.002733045","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"149","16.004180338","192.168.8.159","104.239.142.81","UDP","78","53091  >  5010 Len=36"
"150","16.203976610","104.239.142.81","192.168.8.159","UDP","115","5010  >  53091 Len=73"
"151","16.205374613","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"152","16.402859287","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"153","16.404352830","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"154","16.597754164","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"155","16.598972798","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"156","16.796075293","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"157","16.797283267","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"158","16.994465953","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"159","16.995870416","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"160","17.197722888","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"161","17.198786823","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"162","17.407956459","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"163","17.409448862","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"164","17.603242714","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"165","17.604445978","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"166","17.796606888","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"167","17.798044601","192.168.8.159","104.239.142.81","UDP","82","53091  >  5010 Len=40"
"168","17.994559930","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"169","17.996052533","192.168.8.159","104.239.142.81","UDP","76","53091  >  5010 Len=34"
"170","18.209356128","104.239.142.81","192.168.8.159","UDP","118","5010  >  53091 Len=76"
"171","18.210860951","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"172","18.408077536","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"173","18.409343800","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"174","18.602741114","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"175","18.603977058","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"176","18.801717391","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"177","18.803179874","192.168.8.159","104.239.142.81","UDP","81","53091  >  5010 Len=39"
"178","18.999770873","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"179","19.001168616","192.168.8.159","104.239.142.81","UDP","75","53091  >  5010 Len=33"
"180","19.198318982","104.239.142.81","192.168.8.159","UDP","117","5010  >  53091 Len=75"
"181","19.199843614","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"182","19.395925795","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"183","19.397387978","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"184","19.607122272","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"185","19.608655834","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"186","19.805621611","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"187","19.807537681","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"188","20.003708672","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"189","20.005237535","192.168.8.159","104.239.142.81","UDP","80","53091  >  5010 Len=38"
"190","20.206521980","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"191","20.207907044","192.168.8.159","104.239.142.81","UDP","74","53091  >  5010 Len=32"
"192","20.405788606","104.239.142.81","192.168.8.159","UDP","114","5010  >  53091 Len=72"
"193","20.407231919","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"194","20.602699143","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"195","20.604302685","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"196","20.800569816","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"197","20.802173988","192.168.8.159","104.239.142.81","UDP","79","53091  >  5010 Len=37"
"198","20.998115740","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"199","20.999469583","192.168.8.159","104.239.142.81","UDP","73","53091  >  5010 Len=31"
"200","21.196818158","104.239.142.81","192.168.8.159","UDP","115","5010  >  53091 Len=73"
"201","21.198416370","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"202","21.396221463","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"203","21.397545087","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"204","21.594646253","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"205","21.595951527","192.168.8.159","104.239.142.81","UDP","82","53091  >  5010 Len=40"
"206","21.793734490","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"207","21.795110343","192.168.8.159","104.239.142.81","UDP","76","53091  >  5010 Len=34"
"208","22.009174236","104.239.142.81","192.168.8.159","UDP","118","5010  >  53091 Len=76"
"209","22.010831767","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"210","22.207293727","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"211","22.208685970","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"212","22.407497608","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"213","22.408789072","192.168.8.159","104.239.142.81","UDP","81","53091  >  5010 Len=39"
